pickup_date;avg_temp_C;Rain;Fog;Snow
02.10.15;12;1;;
03.10.15;11;1;;
04.10.15;14;;;
05.10.15;16;;;
06.10.15;17;;;
07.10.15;19;;;
08.10.15;19;;;
09.10.15;21;1;1;
10.10.15;14;;;
11.10.15;16;;;
12.10.15;19;;;
13.10.15;19;;;
14.10.15;17;;;
15.10.15;14;;;
16.10.15;15;;;
17.10.15;9;;;
18.10.15;7;;;
19.10.15;7;;;
20.10.15;15;;;
21.10.15;19;;;
22.10.15;19;;;
23.10.15;13;;;
24.10.15;9;;;
25.10.15;14;1;;
26.10.15;11;;;
27.10.15;11;;;
28.10.15;16;1;1;
29.10.15;18;1;;
30.10.15;13;;;
31.10.15;9;;;
01.11.15;16;;;
02.11.15;15;;;
03.11.15;16;;;
04.11.15;17;;;
05.11.15;18;1;;
06.11.15;21;;;
07.11.15;17;;;
08.11.15;11;;;
09.11.15;11;;;
10.11.15;12;1;;
11.11.15;12;1;;
12.11.15;13;1;;
13.11.15;11;;;
14.11.15;8;;;
15.11.15;9;;;
16.11.15;15;;;
17.11.15;8;;;
18.11.15;11;;;
19.11.15;16;1;;
20.11.15;13;;;
21.11.15;9;;;
22.11.15;9;1;;
23.11.15;4;;;
24.11.15;4;;;
25.11.15;6;;;
26.11.15;11;;;
27.11.15;14;;;
28.11.15;12;;;
29.11.15;6;;;
30.11.15;4;;;
01.12.15;9;1;;
02.12.15;11;1;;
03.12.15;10;;;
04.12.15;8;;;
05.12.15;8;;;
06.12.15;8;;;
07.12.15;9;;;
08.12.15;7;;;
09.12.15;9;;;
10.12.15;13;;;
11.12.15;13;;;
12.12.15;16;;;
13.12.15;16;;;
14.12.15;16;1;;
15.12.15;16;1;;
16.12.15;10;1;;
17.12.15;13;1;;
18.12.15;9;1;;
19.12.15;3;;;
20.12.15;4;;;
21.12.15;9;;;
22.12.15;14;1;;
23.12.15;14;1;;
24.12.15;20;1;;
25.12.15;17;1;;
26.12.15;12;1;;
27.12.15;12;1;;
28.12.15;4;1;;
29.12.15;4;1;;
30.12.15;6;1;;
31.12.15;7;1;;
